直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
臺中市,清水區,BF,4631,海風段,00010000,939.03,河川區,交通用地,國土保育地區第一類,,依原區域計畫法編定之交通用地
臺中市,清水區,BF,4631,海風段,00020000,312.88,山坡地保育區,農牧用地,部分國土保育地區第二類;部分國土保育地區第一類,,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00030000,"1,500.99",山坡地保育區,農牧用地,部分國土保育地區第二類;部分國土保育地區第一類,,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00040000,"1,782.47",山坡地保育區,農牧用地,國土保育地區第二類,,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00050000,"1,290.69",山坡地保育區,農牧用地,部分國土保育地區第二類;部分國土保育地區第一類,考,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00060000,"1,316.76",山坡地保育區,農牧用地,部分國土保育地區第二類;部分國土保育地區第一類,,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00070000,"1,099.09",河川區,交通用地,國土保育地區第一類,,依原區域計畫法編定之交通用地
臺中市,清水區,BF,4631,海風段,00080000,"1,027.47",河川區,交通用地,國土保育地區第一類,,依原區域計畫法編定之交通用地
臺中市,清水區,BF,4631,海風段,00090000,"2,531.83",山坡地保育區,農牧用地,"參
農業發展地區第二類",,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00100000,224.86,山坡地保育區,農牧用地,國土保育地區第一類,,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00110000,"6,569.24",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00120000,142.64,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00130000,56.26,山坡地保育區,農牧用地,"供
農業發展地區第三類",,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00140000,15.22,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00150000,"3,554.82",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00160000,"1,377.43",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00170000,193.64,山坡地保育區,水利用地,農業發展地區第三類,,依原區域計畫法編定之水利用地
臺中市,清水區,BF,4631,海風段,00180000,461.82,山坡地保育區,農牧用地,"僅
農業發展地區第三類",,依原區域計畫法編定之農牧用地
臺中市,清水區,BF,4631,海風段,00190000,748.36,河川區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
