直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
臺中市,神岡區,BD,3301,山皮段,00130000,"15,577.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00130001,446.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00140000,"3,889.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00170009,"1,112.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00180000,"6,004.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00190000,"41,872.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00200000,"5,950.00",特定專用區,特定目的事業用地,"考
城鄉發展地區第二類之一",,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00200001,97.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00210000,"7,609.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00220000,"8,746.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00230000,294.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00240000,"1,964.00",特定專用區,特定目的事業用地,"參
城鄉發展地區第二類之一",,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00250000,"1,289.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00260000,"1,207.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00270000,"10,195.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00270001,168.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00270003,"1,018.00",特定專用區,特定目的事業用地,"供
城鄉發展地區第二類之一",,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00270005,197.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00270006,197.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00270008,446.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00280000,"2,038.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00280002,"1,017.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00380009,"9,011.00",特定專用區,特定目的事業用地,"僅
城鄉發展地區第二類之一",,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,00390004,"2,961.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,01080002,248.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,01080007,"1,139.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,01180014,"1,074.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,01220001,"1,095.00",特定專用區,特定目的事業用地,"案
城鄉發展地區第二類之一",,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,01290001,1.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,01310001,2.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,01430000,"3,568.00",特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
臺中市,神岡區,BD,3301,山皮段,01440001,475.00,特定專用區,特定目的事業用地,城鄉發展地區第二類之一,,依原區域計畫法編定之特定目的事業用地
