直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
臺中市,潭子區,BH,6709,聚興段,00260000,967.00,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,00260002,393.00,山坡地保育區,交通用地,農業發展地區第三類,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6709,聚興段,00280001,276.00,山坡地保育區,交通用地,農業發展地區第三類,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6709,聚興段,00280002,84.00,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,07720001,10.00,山坡地保育區,交通用地,農業發展地區第三類,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6709,聚興段,07730000,129.00,山坡地保育區,農牧用地,"考
農業發展地區第三類",,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,07730003,185.00,山坡地保育區,交通用地,農業發展地區第三類,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6709,聚興段,07740000,446.00,山坡地保育區,丙種建築用地,農業發展地區第三類,,依原區域計畫法編定之丙種建築用地
臺中市,潭子區,BH,6709,聚興段,07740164,"1,722.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,07740281,232.00,山坡地保育區,丙種建築用地,農業發展地區第三類,,依原區域計畫法編定之丙種建築用地
臺中市,潭子區,BH,6709,聚興段,07750000,533.00,山坡地保育區,農牧用地,"參
農業發展地區第三類",,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,07760000,281.00,山坡地保育區,丙種建築用地,農業發展地區第三類,,依原區域計畫法編定之丙種建築用地
臺中市,潭子區,BH,6709,聚興段,07770000,272.00,山坡地保育區,丙種建築用地,農業發展地區第三類,,依原區域計畫法編定之丙種建築用地
臺中市,潭子區,BH,6709,聚興段,08750032,70.00,山坡地保育區,暫未編定,農業發展地區第三類,,
臺中市,潭子區,BH,6709,聚興段,07790000,272.00,山坡地保育區,丙種建築用地,農業發展地區第三類,,依原區域計畫法編定之丙種建築用地
臺中市,潭子區,BH,6709,聚興段,08270000,"9,883.00",山坡地保育區,林業用地,"供
農業發展地區第三類",,依原區域計畫法編定之林業用地
臺中市,潭子區,BH,6709,聚興段,08270001,"13,896.00",山坡地保育區,林業用地,農業發展地區第三類,,依原區域計畫法編定之林業用地
臺中市,潭子區,BH,6709,聚興段,08270002,"8,191.00",山坡地保育區,林業用地,農業發展地區第三類,,依原區域計畫法編定之林業用地
臺中市,潭子區,BH,6709,聚興段,08270014,"3,700.00",山坡地保育區,暫未編定,部分農業發展地區第三類;部分國土保育地區第一類,,
臺中市,潭子區,BH,6709,聚興段,08280000,"11,266.00",山坡地保育區,林業用地,農業發展地區第三類,,依原區域計畫法編定之林業用地
臺中市,潭子區,BH,6709,聚興段,08350016,"1,800.00",山坡地保育區,暫未編定,"僅
農業發展地區第三類",,
臺中市,潭子區,BH,6709,聚興段,08350052,245.00,山坡地保育區,暫未編定,農業發展地區第三類,,
臺中市,潭子區,BH,6709,聚興段,07820028,973.00,森林區,林業用地,部分農業發展地區第三類;部分國土保育地區第一類,,依原區域計畫法編定之林業用地
臺中市,潭子區,BH,6709,聚興段,07820029,"1,437.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,07660001,"2,740.00",山坡地保育區,農牧用地,"案
農業發展地區第三類",,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,06210005,84.00,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,07540001,712.00,山坡地保育區,丙種建築用地,農業發展地區第三類,,依原區域計畫法編定之丙種建築用地
臺中市,潭子區,BH,6709,聚興段,07540002,151.00,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,01840001,"1,503.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,01840002,"1,096.00",特定農業區,農牧用地,"草
農業發展地區第二類",,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,01840003,194.00,特定農業區,水利用地,農業發展地區第二類,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6709,聚興段,01860000,501.00,特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,01860001,"2,299.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,01860002,10.00,特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,01860003,245.00,特定農業區,"覽
農牧用地",農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,01890002,"3,768.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,01890004,690.00,特定農業區,水利用地,農業發展地區第二類,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6709,聚興段,01890006,199.00,特定農業區,交通用地,農業發展地區第二類,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6709,聚興段,01940000,"1,785.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,08840000,"8,168.00","展
特定農業區",水利用地,農業發展地區第二類,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6709,聚興段,06400001,"1,081.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,08350009,"13,743.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,07780000,"3,841.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,07670005,"34,167.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6709,聚興段,00400012,"2,401.00",山坡地保育區,水利用地,部分農業發展地區第三類;部分城鄉發展地區第二類之一,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340000,"9,708.00",工業區,國土保安用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340003,"2,166.00",工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340004,"4,605.00",工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,"公
聚興段新興小段",00340005,"2,749.00",工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340006,"2,373.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340007,"1,295.00",工業區,特定目的事業用地,城鄉發展地區第二類之二,,依原區域計畫法編定之特定目的事業用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340012,"1,060.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340017,"1,114.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340018,"1,122.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340019,"1,131.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340020,"1,122.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340021,"1,098.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340022,"1,279.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340023,"2,373.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340024,"3,146.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00350000,433.00,工業區,國土保安用地,"考
部分農業發展地區第一類;部分城鄉發展地區第二類之二",,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00400004,70.00,工業區,國土保安用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00400006,36.00,工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00400008,160.00,工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500000,"2,872.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500026,"2,704.00",工業區,丁種建築用地,"參
城鄉發展地區第二類之二",,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00590000,26.00,工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,05820000,"3,838.50",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6710,聚興段新興小段,05830000,"2,768.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6710,聚興段新興小段,05840000,197.00,特定農業區,甲種建築用地,農業發展地區第二類,,依原區域計畫法編定之甲種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,05850000,"2,887.00",特定農業區,農牧用地,"供
農業發展地區第二類",,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470000,20.00,工業區,國土保安用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470001,50.00,工業區,交通用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470002,187.00,工業區,國土保安用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470003,327.00,工業區,水利用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470004,375.00,工業區,國土保安用地,"僅
部分農業發展地區第一類;部分城鄉發展地區第二類之二",,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470006,18.00,工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470013,143.00,工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00480000,65.00,工業區,國土保安用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500003,360.00,工業區,國土保安用地,"案
城鄉發展地區第二類之二",,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500004,481.00,工業區,水利用地,城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500005,"1,615.00",工業區,國土保安用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500006,691.00,工業區,交通用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500016,"2,921.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500018,"2,873.00",工業區,丁種建築用地,"草
城鄉發展地區第二類之二",,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500019,"2,825.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500020,"3,425.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500021,"3,335.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500022,"3,361.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00540001,"1,029.00",工業區,"覽
交通用地",城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340011,"3,688.00",工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00460007,501.00,工業區,特定目的事業用地,城鄉發展地區第二類之二,,依原區域計畫法編定之特定目的事業用地
臺中市,潭子區,BH,6710,聚興段新興小段,00460008,360.00,工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470017,2.00,工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470018,4.00,"展
工業區",國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470019,94.00,工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00570005,2.00,工業區,水利用地,城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00620000,663.00,工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00620002,1.00,工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00720001,33.00,工業區,交通用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00720002,25.00,工業區,國土保安用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00750000,106.00,工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00760000,285.00,工業區,國土保安用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,"公
聚興段新興小段",00760001,69.00,工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00760002,6.00,工業區,水利用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470008,39.00,工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470009,15.00,工業區,水利用地,城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470010,906.00,工業區,水利用地,城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470011,10.00,工業區,水利用地,城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470012,29.00,工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500011,"1,865.00",工業區,水利用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00540003,"1,350.00",工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00540004,653.00,工業區,水利用地,城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00540005,"1,483.00",工業區,水利用地,城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00570001,670.00,工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00570003,"1,336.00",工業區,水利用地,"考
部分農業發展地區第一類;部分城鄉發展地區第二類之二",,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00600000,252.00,工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00590002,"1,596.00",工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00570007,"8,789.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00570006,"6,617.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00570004,157.00,工業區,國土保安用地,"參
城鄉發展地區第二類之二",,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00570002,360.00,工業區,水利用地,城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00570000,"6,304.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500025,"3,025.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500024,"2,680.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500023,"3,415.00",工業區,丁種建築用地,"供
城鄉發展地區第二類之二",,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500017,"3,038.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500010,"1,274.00",工業區,國土保安用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500009,897.00,工業區,水利用地,城鄉發展地區第二類之二,,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00500008,734.00,工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470016,156.00,工業區,水利用地,"僅
城鄉發展地區第二類之二",,依原區域計畫法編定之水利用地
臺中市,潭子區,BH,6710,聚興段新興小段,00470015,373.00,工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00460009,"1,305.00",工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00460006,504.00,工業區,特定目的事業用地,城鄉發展地區第二類之二,,依原區域計畫法編定之特定目的事業用地
臺中市,潭子區,BH,6710,聚興段新興小段,00460004,749.00,工業區,國土保安用地,"案
城鄉發展地區第二類之二",,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00460003,"1,478.00",工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00460001,"2,037.00",工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00460000,"3,337.00",工業區,國土保安用地,部分農業發展地區第一類;部分城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340016,"1,188.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340015,"3,643.00",工業區,丁種建築用地,"草
城鄉發展地區第二類之二",,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340014,"3,256.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340013,"3,084.00",工業區,丁種建築用地,城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340010,"2,746.00",工業區,交通用地,城鄉發展地區第二類之二,,依原區域計畫法編定之交通用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340009,"1,092.00",工業區,國土保安用地,城鄉發展地區第二類之二,,依原區域計畫法編定之國土保安用地
臺中市,潭子區,BH,6710,聚興段新興小段,00340008,"2,590.00",工業區,"覽
丁種建築用地",城鄉發展地區第二類之二,,依原區域計畫法編定之丁種建築用地
臺中市,潭子區,BH,6714,石牌段,00010000,261.57,特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,潭子區,BH,6714,石牌段,00010001,41.99,特定農業區,交通用地,農業發展地區第二類,,依原區域計畫法編定之交通用地
