直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
臺中市,大雅區,BH,7017,自強段,00010000,"1,396.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00010001,250.00,特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00010002,230.00,特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00020000,"1,425.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00020002,432.00,特定農業區,水利用地,農業發展地區第二類,,依原區域計畫法編定之水利用地
臺中市,大雅區,BH,7017,自強段,00030000,565.00,特定農業區,農牧用地,農業發展地區第二類,考,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00030001,425.00,特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00030002,555.00,特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00040000,348.00,特定農業區,甲種建築用地,農業發展地區第二類,,依原區域計畫法編定之甲種建築用地
臺中市,大雅區,BH,7017,自強段,00050000,388.00,特定農業區,甲種建築用地,"參
農業發展地區第二類",,依原區域計畫法編定之甲種建築用地
臺中市,大雅區,BH,7017,自強段,00050001,115.00,特定農業區,甲種建築用地,農業發展地區第二類,,依原區域計畫法編定之甲種建築用地
臺中市,大雅區,BH,7017,自強段,00060000,55.00,特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00070000,"1,906.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00070001,48.00,特定農業區,農牧用地,"供
農業發展地區第二類",,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00080000,"1,840.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00090000,"2,937.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00110000,"1,433.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00110001,"1,433.00",特定農業區,農牧用地,農業發展地區第二類,,依原區域計畫法編定之農牧用地
臺中市,大雅區,BH,7017,自強段,00110002,"1,433.00",特定農業區,農牧用地,"僅
農業發展地區第二類",,依原區域計畫法編定之農牧用地
