直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
臺中市,石岡區,BG,5901,石岡段金星面小段,00430000,"1,503.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00430001,"1,494.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00450000,"1,183.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00450001,737.00,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00460000,253.00,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00470000,262.00,山坡地保育區,農牧用地,"考
農業發展地區第三類",,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00530000,272.00,山坡地保育區,丙種建築用地,農業發展地區第三類,,依原區域計畫法編定之丙種建築用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00490000,790.00,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00500000,601.00,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00510000,"2,182.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00520000,737.00,山坡地保育區,農牧用地,"參
農業發展地區第三類",,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00540000,"1,261.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00550000,"1,125.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00560000,572.00,山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00570000,53.00,山坡地保育區,暫未編定,農業發展地區第三類,,
臺中市,石岡區,BG,5901,石岡段金星面小段,00580000,"6,033.00",山坡地保育區,農牧用地,"供
農業發展地區第三類",,依原區域計畫法編定之農牧用地
臺中市,石岡區,BG,5901,石岡段金星面小段,00590000,"1,722.00",山坡地保育區,農牧用地,農業發展地區第三類,,依原區域計畫法編定之農牧用地
