直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
臺中市,大安區,BE,4300,頂大安段,00020002,"1,048.00",特定農業區,農牧用地,部分農業發展地區第一類;部分國土保育地區第一類,,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00020003,276.00,特定農業區,農牧用地,部分農業發展地區第一類;部分國土保育地區第一類,,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00020004,509.00,特定農業區,農牧用地,部分農業發展地區第一類;部分國土保育地區第一類,,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00020005,"3,028.00",特定農業區,農牧用地,部分農業發展地區第一類;部分國土保育地區第一類,,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00020006,"2,900.00",特定農業區,農牧用地,農業發展地區第一類,,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00020007,207.00,特定農業區,農牧用地,農業發展地區第一類,,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00030000,209.00,特定農業區,農牧用地,"考
農業發展地區第一類",,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00040000,150.00,特定農業區,農牧用地,農業發展地區第一類,,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00050000,"17,303.00",特定農業區,農牧用地,農業發展地區第一類,,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00050001,"14,862.00",特定農業區,農牧用地,農業發展地區第一類,,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00050002,"1,010.00",特定農業區,農牧用地,農業發展地區第一類,,依原區域計畫法編定之農牧用地
臺中市,大安區,BE,4300,頂大安段,00050003,217.00,特定農業區,甲種建築用地,"參
農業發展地區第一類",,依原區域計畫法編定之甲種建築用地
