直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
臺中市,烏日區,BI,7310,溪心壩段,00480019,84.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7310,溪心壩段,00490010,15.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7310,溪心壩段,00490011,84.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7310,溪心壩段,00480020,50.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7311,喀哩段,11240005,71.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7311,喀哩段,11270002,"3,726.00",特定農業區,水利用地,部分城鄉發展地區第二類之三;部分國土保育地區第一類,考,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17830007,77.00,特定農業區,水利用地,農業發展地區第一類,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18370001,11.00,特定農業區,交通用地,城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,19330000,257.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19330001,72.00,特定農業區,交通用地,城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,19340000,268.00,特定農業區,農牧用地,"參
城鄉發展地區第二類之三",,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19340001,61.00,特定農業區,交通用地,城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,19350000,274.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19350001,56.00,特定農業區,交通用地,城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,19360000,226.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19360001,39.00,特定農業區,交通用地,"供
城鄉發展地區第二類之三",,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,19370001,47.00,特定農業區,交通用地,城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,19440000,45.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,19440001,18.00,特定農業區,交通用地,城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,11490001,6.00,特定農業區,水利用地,農業發展地區第二類,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17830002,118.00,特定農業區,水利用地,"僅
部分農業發展地區第一類;部分農業發展地區第二類",,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18260001,6.00,特定農業區,水利用地,農業發展地區第一類,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18270001,127.00,特定農業區,交通用地,城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,18270002,77.00,特定農業區,交通用地,農業發展地區第二類,,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,20610004,13.00,特定農業區,交通用地,"案
農業發展地區第二類",,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,17830003,"2,249.00",特定農業區,水利用地,農業發展地區第一類,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17830004,475.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17840000,291.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,17840002,17.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17850000,"3,255.00",特定農業區,農牧用地,"草
城鄉發展地區第二類之三",,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,17850002,2.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17860000,"2,000.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18020000,259.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18030000,960.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18040000,448.00,特定農業區,"覽
交通用地",城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,溪南東段,18050000,"1,120.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18060000,12.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18070000,236.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18080000,379.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18080001,78.00,"展
特定農業區",農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18080002,130.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18080003,141.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18080007,380.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18080008,379.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18080009,380.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18080010,12.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18080011,28.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18080012,8.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,"公
溪南東段",18080013,3.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18090000,44.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18090001,135.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18100001,239.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18110000,"2,696.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18110001,8.00,特定農業區,水利用地,農業發展地區第一類,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18120000,334.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18130000,"2,589.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18140000,"1,870.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18150000,"2,131.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18160000,"2,988.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18160001,"1,493.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18160002,"1,494.00",特定農業區,農牧用地,城鄉發展地區第二類之三,考,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18170000,77.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18170001,177.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18240000,407.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18240001,4.00,特定農業區,水利用地,農業發展地區第一類,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18290000,"3,424.00",特定農業區,農牧用地,"參
城鄉發展地區第二類之三",,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18300000,"1,429.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18310000,"2,518.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18320000,"2,645.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18330000,"2,332.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18340000,"2,334.00",特定農業區,農牧用地,"供
城鄉發展地區第二類之三",,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18350000,"2,925.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18400000,38.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17830006,269.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17900000,"3,154.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,17900002,1.00,特定農業區,水利用地,"僅
農業發展地區第一類",,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17910000,"6,116.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,17910002,17.00,特定農業區,水利用地,農業發展地區第一類,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17920000,177.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,17930000,"2,500.00",特定農業區,農牧用地,"案
城鄉發展地區第二類之三",,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,17930002,"2,607.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,17940000,"2,623.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18210000,117.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,18220000,88.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220001,81.00,特定農業區,甲種建築用地,"草
城鄉發展地區第二類之三",,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220002,81.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220003,81.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220004,83.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220005,186.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220006,84.00,特定農業區,"覽
甲種建築用地",城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220007,19.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220008,78.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220009,82.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220010,75.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18220011,132.00,"展
特定農業區",甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,18430000,"1,131.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18440000,"4,324.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18450000,"1,082.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18460000,"2,268.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18470000,"2,638.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18480000,"1,219.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18490000,"1,628.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18500000,724.00,特定農業區,交通用地,城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,烏日區,BI,7313,"公
溪南東段",18510000,"2,018.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18510001,"2,019.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18510002,"2,019.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,18520000,"1,599.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19050000,"1,867.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19060000,908.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19070000,"2,993.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19070001,"2,993.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19070002,"6,070.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19100000,249.00,特定農業區,水利用地,城鄉發展地區第二類之三,,依原區域計畫法編定之水利用地
臺中市,烏日區,BI,7313,溪南東段,19110000,"3,155.00",特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,烏日區,BI,7313,溪南東段,19150000,151.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,19170000,488.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,考,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,19180000,169.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,19180001,169.00,特定農業區,甲種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之甲種建築用地
臺中市,烏日區,BI,7313,溪南東段,19200000,755.00,特定農業區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
