直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
臺中市,龍井區,BK,9317,東園段,00570000,126.75,山坡地保育區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,龍井區,BK,9317,東園段,00580000,160.88,山坡地保育區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,龍井區,BK,9317,東園段,00590000,53.54,山坡地保育區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,龍井區,BK,9317,東園段,00590001,9.26,山坡地保育區,農牧用地,城鄉發展地區第二類之三,,依原區域計畫法編定之農牧用地
臺中市,龍井區,BK,9317,東園段,00600000,633.41,山坡地保育區,林業用地,城鄉發展地區第二類之三,考,依原區域計畫法編定之林業用地
臺中市,龍井區,BK,9317,東園段,00610000,11.97,山坡地保育區,交通用地,城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,龍井區,BK,9317,東園段,00620000,824.11,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00630000,"1,278.05",山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00640000,"2,312.03",山坡地保育區,林業用地,"參
城鄉發展地區第二類之三",,依原區域計畫法編定之林業用地
臺中市,龍井區,BK,9317,東園段,00650000,"2,317.88",山坡地保育區,林業用地,城鄉發展地區第二類之三,,依原區域計畫法編定之林業用地
臺中市,龍井區,BK,9317,東園段,00660000,"2,129.73",山坡地保育區,林業用地,城鄉發展地區第二類之三,,依原區域計畫法編定之林業用地
臺中市,龍井區,BK,9317,東園段,00670000,299.21,山坡地保育區,交通用地,城鄉發展地區第二類之三,,依原區域計畫法編定之交通用地
臺中市,龍井區,BK,9317,東園段,00680000,92.49,山坡地保育區,丙種建築用地,"供
城鄉發展地區第二類之三",,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00690000,107.59,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00700000,94.85,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00710000,94.52,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00720000,94.19,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00730000,93.86,山坡地保育區,丙種建築用地,"僅
城鄉發展地區第二類之三",,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00740000,93.52,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00750000,93.19,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00760000,92.88,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00770000,92.69,山坡地保育區,"案
丙種建築用地",城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00780000,93.87,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00790000,103.70,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00800000,106.47,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00810000,129.95,山坡地保育區,"草
丙種建築用地",城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00820000,127.32,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00830000,125.51,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00830001,125.51,山坡地保育區,丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
臺中市,龍井區,BK,9317,東園段,00840000,125.11,"覽
山坡地保育區",丙種建築用地,城鄉發展地區第二類之三,,依原區域計畫法編定之丙種建築用地
