直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
新北市,土城區,FA,0136,柑林埤段,0294-0001,74,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0294-0068,21,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0294-0097,54,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0294-0110,2,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0294-0111,6,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0294-0112,23,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0319-0000,121,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0319-0002,58,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0319-0003,34,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0319-0004,40,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0319-0005,32,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0319-0006,1,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0319-0007,158,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0319-0008,36,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0319-0035,220,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0319-0065,122,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0000,107,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0001,73,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0002,407,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0003,22,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0007,91,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0008,13,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0009,61,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0010,16,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0011,59,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0012,76,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0013,241,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0014,369,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0016,58,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0017,26,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0018,100,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0019,131,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0021,26,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0022,22,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0023,7,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0024,35,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0025,6,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0026,31,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0027,71,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0029,8,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0030,17,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0031,70,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0032,38,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0033,8,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0067,14,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0069,44,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0070,4,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0071,4,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0078,1,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0086,4,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0087,6,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0088,4,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0089,103,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0094,9,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0095,5,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0097,25,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0098,8,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0099,162,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0101,12,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0102,3,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0103,1,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0104,37.58,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0105,96,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0106,21.07,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0107,8.15,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0108,30.2,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0320-0109,76,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0388-0001,256,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0388-0002,52,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0388-0003,26,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0389-0018,71,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0390-0026,360,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0390-0031,60,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0392-0010,161,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0392-0014,223,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0394-0008,5,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0395-0009,199,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0398-0009,2,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0399-0006,108,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0400-0010,129,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0401-0022,390,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0401-0023,8,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0403-0025,14,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0403-0026,860,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0403-0069,605,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0403-0081,25,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0403-0086,129,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0403-0087,1,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0403-0088,69,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0403-0089,198,,,城鄉發展地區第一類,,
新北市,土城區,FA,0136,柑林埤段,0403-0093,22,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0269-0022,783,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0269-0023,243,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0270-0004,202,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0270-0005,122,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0270-0010,54,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0270-0021,264,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0270-0022,1,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0271-0004,65,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0271-0005,414,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0271-0007,30,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0272-0020,708,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0272-0021,1264,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0272-0030,1,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0274-0015,0.5,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0274-0016,0.5,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0275-0019,100,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0275-0020,12,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0275-0023,18,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0275-0072,298,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0275-0073,55,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0275-0087,267,,,城鄉發展地區第一類,,
新北市,土城區,FA,0137,清水坑段外冷水坑小段,0282-0003,21,,,城鄉發展地區第一類,,
