直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
新北市,深坑區,FC,0665,深坑子段深坑子小段,0052-0009,19,山坡地保育區,農牧用地,農業發展地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0053-0000,526,山坡地保育區,農牧用地,農業發展地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0053-0002,123,山坡地保育區,水利用地,農業發展地區第三類,,1.屬依原區域計畫編定之水利用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0054-0000,242,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0055-0000,533,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0055-0001,1232,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0055-0002,2182,山坡地保育區,林業用地,農業發展地區第三類,,1.屬依原區域計畫編定之林業用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0055-0003,5063,山坡地保育區,林業用地,農業發展地區第三類,,1.屬依原區域計畫編定之林業用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0056-0001,667,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0057-0005,114,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0184-0001,54,山坡地保育區,農牧用地,"城鄉發展地區第一類、農業
發展地區第三類",,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0185-0000,514,山坡地保育區,丙種建築用地,農業發展地區第三類,,1.屬依原區域計畫編定之丙種建築用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0185-0001,3949,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0185-0002,684,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0185-0003,563,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0185-0004,1668,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0185-0005,3778,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0185-0006,296,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0185-0007,91,山坡地保育區,特定目的事業用地,農業發展地區第三類,,1.屬依原區域計畫編定之特定目的事業用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0186-0000,1309,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0187-0000,664,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0187-0001,640,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0188-0001,1848,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0188-0002,426,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0188-0004,2148,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0193-0002,460,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0193-0003,3982,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
新北市,深坑區,FC,0665,深坑子段深坑子小段,0193-0004,2071,山坡地保育區,農牧用地,農業發展地區第三類,,1.屬依原區域計畫編定之農牧用地
