直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
新北市,石門區,FE,1244,石門段石門小段,0055-0000,327,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0055-0002,623,,,農業發展地區第五類,,
新北市,石門區,FE,1244,石門段石門小段,0055-0003,108,,,農業發展地區第五類,,
新北市,石門區,FE,1244,石門段石門小段,0055-0004,127,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0069-0000,18516,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0069-0001,58,,,農業發展地區第五類,,
新北市,石門區,FE,1244,石門段石門小段,0069-0003,402,,,農業發展地區第五類,,
新北市,石門區,FE,1244,石門段石門小段,0071-0000,9053,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0071-0001,262,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0080-0000,8954,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0080-0001,3,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0080-0013,1585,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0080-0015,656,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0080-0016,13187,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0082-0000,2715,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0083-0000,230,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0083-0001,223,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0083-0002,2076,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0083-0004,13949,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0083-0005,1386,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0083-0006,4554,,,城鄉發展地區第一類,,
新北市,石門區,FE,1244,石門段石門小段,0084-0000,11279,,,城鄉發展地區第一類,,
