直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
新北市,貢寮區,FF,1401,柑子瀨段苧子潭小段,0014-0002,97,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1417,焿子寮段,0411-0000,400,山坡地保育區,交通用地,城鄉發展地區第二類之三,,1.屬依原區域計畫編定之交通用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0001-0000,204,山坡地保育區,丙種建築用地,國土保育地區第二類,,1.屬依原區域計畫編定之丙種建築用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0001-0001,165,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0002-0000,184,山坡地保育區,丙種建築用地,國土保育地區第二類,,1.屬依原區域計畫編定之丙種建築用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0002-0001,553,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0003-0000,441,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0003-0001,660,山坡地保育區,水利用地,國土保育地區第二類,,1.屬依原區域計畫編定之水利用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0003-0002,1819,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0004-0001,112,山坡地保育區,丙種建築用地,國土保育地區第二類,,1.屬依原區域計畫編定之丙種建築用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0004-0002,441,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0005-0000,897,山坡地保育區,丙種建築用地,國土保育地區第二類,,1.屬依原區域計畫編定之丙種建築用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0005-0001,10543,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0006-0000,1872,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0006-0001,3079,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0006-0002,1751,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0007-0000,1406,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0008-0000,97,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0009-0000,213,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0010-0000,4714,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0010-0001,242,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0011-0000,4069,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0012-0000,1324,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0013-0000,11862,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0013-0001,1673,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0016-0000,1096,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0016-0001,44660,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0016-0002,1057,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0017-0000,732,山坡地保育區,丙種建築用地,國土保育地區第二類,,1.屬依原區域計畫編定之丙種建築用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0018-0000,1872,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0020-0000,1702,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0021-0000,2274,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0022-0000,718,山坡地保育區,丙種建築用地,"國土保育地區第一類、國土
保育地區第二類",,1.屬依原區域計畫編定之丙種建築用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0023-0000,131,山坡地保育區,農牧用地,國土保育地區第一類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0024-0000,451,山坡地保育區,農牧用地,國土保育地區第一類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0025-0000,509,山坡地保育區,農牧用地,"國土保育地區第一類、國土
保育地區第二類",,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0026-0000,1435,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0027-0000,2182,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0027-0001,1896,山坡地保育區,林業用地,國土保育地區第二類,,1.屬依原區域計畫編定之林業用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0027-0002,2750,山坡地保育區,林業用地,國土保育地區第二類,,1.屬依原區域計畫編定之林業用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0030-0000,984,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0030-0001,97,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0031-0000,630,山坡地保育區,水利用地,國土保育地區第二類,,1.屬依原區域計畫編定之水利用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0032-0000,533,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0033-0000,3225,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0034-0000,1804,山坡地保育區,丙種建築用地,國土保育地區第二類,,1.屬依原區域計畫編定之丙種建築用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0034-0001,1338,山坡地保育區,林業用地,國土保育地區第二類,,1.屬依原區域計畫編定之林業用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0035-0000,446,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0036-0000,1014,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0036-0001,73,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0036-0002,107,山坡地保育區,農牧用地,國土保育地區第二類,,1.屬依原區域計畫編定之農牧用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0037-0000,849,山坡地保育區,水利用地,國土保育地區第二類,,1.屬依原區域計畫編定之水利用地
新北市,貢寮區,FF,1532,貢寮段內寮小段,0039-0000,1222,山坡地保育區,水利用地,國土保育地區第二類,,1.屬依原區域計畫編定之水利用地
