檔案名稱,成功處理,記錄數,處理時間(秒),平均每筆時間(秒)
桃園市國土功能分區土地清冊－(01)桃園區.pdf,True,102351,492.51911520957947,0.004812059630190027
桃園市國土功能分區土地清冊－(02)大溪區.pdf,True,85882,492.80326652526855,0.005738143808076996
桃園市國土功能分區土地清冊－(03)中壢區.pdf,True,157740,1039.7022750377655,0.0065912404909202835
桃園市國土功能分區土地清冊－(04)楊梅區.pdf,True,106656,812.1331615447998,0.007614509840466545
桃園市國土功能分區土地清冊－(05)蘆竹區.pdf,True,82322,450.56483721733093,0.0054732008116582555
桃園市國土功能分區土地清冊－(06)大園區.pdf,True,79204,516.9991562366486,0.006527437455641743
桃園市國土功能分區土地清冊－(07)龜山區.pdf,True,70659,467.5107066631317,0.006616435367938008
桃園市國土功能分區土地清冊－(08)八德區.pdf,True,71554,690.6266367435455,0.009651824310919663
桃園市國土功能分區土地清冊－(09)龍潭區.pdf,True,88798,845.9560918807983,0.009526747132602067
桃園市國土功能分區土地清冊－(10)平鎮區.pdf,True,98639,1030.6987812519073,0.010449201444174286
桃園市國土功能分區土地清冊－(11)新屋區.pdf,True,75272,982.7198417186737,0.013055582975325136
桃園市國土功能分區土地清冊－(12)觀音區.pdf,True,77490,994.5186455249786,0.012834154671892872
桃園市國土功能分區土地清冊－(13)復興區.pdf,True,37120,523.911586523056,0.014113997481763363
