直轄市縣市名稱,鄉鎮市區,地政事務所代碼,地段代碼,地段名稱,地號,面積,繪製或檢討變更前_國土功能分區及其分類,繪製或檢討變更前_使用地編定類別,繪製或檢討變更後_國土功能分區及其分類,繪製或檢討變更後_使用地編定類別,備註
復興區,HC,0457角板段,00010000,128749,山坡地保育區,,"國土保育地區第一類、農業
發展地區第三類、農業發展
地區第四類",林業用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00010001,1832,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00010002,242,山坡地保育區,,國土保育地區第一類,農業生產用地,,,
復興區,HC,0457角板段,00010003,616,山坡地保育區,,國土保育地區第一類,農業生產用地,,,
復興區,HC,0457角板段,00010004,1941,山坡地保育區,,國土保育地區第一類,農業生產用地,,,
復興區,HC,0457角板段,00010005,360,山坡地保育區,,"國土保育地區第一類、農業
發展地區第三類",農業生產用地,,,
復興區,HC,0457角板段,00010006,478,山坡地保育區,,農業發展地區第四類,農業生產用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00010007,163,山坡地保育區,,農業發展地區第四類,農業生產用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00010008,744,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00010009,768,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00010010,1840,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00010011,29610,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00010012,57,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00010013,25,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00010014,750,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00010015,1620,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00010016,9595,山坡地保育區,,"國土保育地區第一類、農業
發展地區第三類",林業用地,,,
復興區,HC,0457角板段,00010027,12,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00010028,1965,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00020000,1988,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00030000,921,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00040000,2565,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00050000,1704,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00050001,707,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00050002,783,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00050003,334,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00050004,94,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00050005,136,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00050006,13,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00050007,218,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00050008,198,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00050009,177,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00050010,62,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00050011,36,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00050012,227,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00050013,2355,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00050014,1250,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00050015,3,山坡地保育區,,農業發展地區第三類,林業用地,,,
復興區,HC,0457角板段,00060000,3198,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00060003,245,山坡地保育區,,農業發展地區第三類,建築用地,,,
復興區,HC,0457角板段,00070000,2549,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00070001,2548,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00080000,1358,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00090000,2826,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00090001,3032,山坡地保育區,,農業發展地區第三類,農業生產用地,,,
復興區,HC,0457角板段,00100000,865,山坡地保育區,,農業發展地區第三類,建築用地,,,
復興區,HC,0457角板段,00100001,396,山坡地保育區,,農業發展地區第三類,建築用地,,,
復興區,HC,0457角板段,00110000,437,山坡地保育區,,農業發展地區第四類,建築用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00110001,137,山坡地保育區,,農業發展地區第四類,交通用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00110002,114,山坡地保育區,,農業發展地區第四類,交通用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00110003,350,山坡地保育區,,農業發展地區第四類,交通用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00110013,73,山坡地保育區,,"農業發展地區第三類、農業
發展地區第四類",交通用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00110014,130,山坡地保育區,,農業發展地區第四類,交通用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00110015,13,山坡地保育區,,農業發展地區第四類,交通用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00110016,177,山坡地保育區,,農業發展地區第四類,交通用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00120000,1323,山坡地保育區,,"國土保育地區第一類、農業
發展地區第三類、農業發展
地區第四類",農業生產用地,1. 此地號為農業發展地區第四類原住民聚落。,,
復興區,HC,0457角板段,00120001,321,山坡地保育區,,"國土保育地區第一類、農業
發展地區第四類",農業生產用地,1. 此地號為農業發展地區第四類原住民聚落。,,
